strike,optiontype,BUY/SELL,price,current_price,Datetime
18100,PE,SELL,126.35,0.05,2023-05-02 09:31:59
17400,PE,BUY,24.2,0.05,2023-05-02 09:31:59
18100,CE,SELL,199.65,220.75,2023-05-03 09:29:59
18800,CE,BUY,12.35,0.05,2023-05-03 09:29:59
18100,PE,SELL,113.4,0.05,2023-05-04 14:33:59
17400,PE,BUY,19.3,0.05,2023-05-04 14:33:59
17400,PE,BUY,16.2,0.05,2023-05-04 15:03:59
18100,PE,SELL,98.0,0.05,2023-05-04 15:03:59
18100,PE,SELL,86.75,0.05,2023-05-08 12:14:59
17400,PE,BUY,14.3,0.05,2023-05-08 12:14:59
18100,PE,SELL,75.75,0.05,2023-05-09 09:21:59
17400,PE,BUY,13.3,0.05,2023-05-09 09:21:59
18100,PE,SELL,67.7,0.05,2023-05-09 11:42:59
17400,PE,BUY,13.75,0.05,2023-05-09 11:42:59
17400,PE,BUY,10.3,0.05,2023-05-11 15:23:59
18100,PE,SELL,58.55,0.05,2023-05-11 15:23:59
18100,PE,SELL,52.65,0.05,2023-05-15 09:25:59
17400,PE,BUY,7.05,0.05,2023-05-15 09:25:59
18100,PE,SELL,46.8,0.05,2023-05-15 09:45:59
17400,PE,BUY,6.9,0.05,2023-05-15 09:45:59
17400,PE,BUY,6.6,0.05,2023-05-15 10:05:59
18100,PE,SELL,42.05,0.05,2023-05-15 10:05:59
18100,PE,SELL,37.65,0.05,2023-05-15 11:11:59
17400,PE,BUY,6.55,0.05,2023-05-15 11:11:59
18100,PE,SELL,32.9,0.05,2023-05-15 12:39:59
17400,PE,BUY,6.75,0.05,2023-05-15 12:39:59
18100,CE,SELL,178.35,220.75,2023-05-17 11:50:59
18800,CE,BUY,4.95,0.05,2023-05-17 11:50:59
18100,CE,SELL,159.85,220.75,2023-05-17 13:02:59
18800,CE,BUY,4.8,0.05,2023-05-17 13:02:59
18800,CE,BUY,2.95,0.05,2023-05-18 15:01:59
18100,CE,SELL,143.15,220.75,2023-05-18 15:01:59
18800,CE,BUY,2.55,0.05,2023-05-19 09:33:59
