strike,optiontype,BUY/SELL,price,current_price,Datetime
19550,CE,SELL,0.95,0.05,26/10/2023 12:09:59
20250,CE,BUY,0.25,0.05,26/10/2023 12:09:59
19550,CE,SELL,0.8,0.05,26/10/2023 12:21:59
20250,CE,BUY,0.2,0.05,26/10/2023 12:21:59
19550,CE,SELL,0.7,0.05,26/10/2023 13:26:59
20250,CE,BUY,0.25,0.05,26/10/2023 13:26:59
19550,CE,SELL,0.55,0.05,26/10/2023 13:37:59
20250,CE,BUY,0.15,0.05,26/10/2023 13:37:59
19550,CE,SELL,0.45,0.05,26/10/2023 14:21:59
20250,CE,BUY,0.15,0.05,26/10/2023 14:21:59
19550,CE,SELL,0.4,0.05,26/10/2023 14:23:59
20250,CE,BUY,0.1,0.05,26/10/2023 14:23:59
19550,CE,SELL,0.35,0.05,26/10/2023 14:27:59
20250,CE,BUY,0.15,0.05,26/10/2023 14:27:59
19550,CE,SELL,0.3,0.05,26/10/2023 14:41:59
20250,CE,BUY,0.1,0.05,26/10/2023 14:41:59
19550,CE,SELL,0.25,0.05,26/10/2023 14:49:59
20250,CE,BUY,0.05,0.05,26/10/2023 14:49:59
19550,CE,SELL,0.2,0.05,26/10/2023 14:51:59
20250,CE,BUY,0.1,0.05,26/10/2023 14:51:59
19550,CE,SELL,0.15,0.05,26/10/2023 14:57:59
20250,CE,BUY,0.05,0.05,26/10/2023 14:57:59
19550,CE,SELL,0.1,0.05,26/10/2023 15:02:59
20250,CE,BUY,0.05,0.05,26/10/2023 15:02:59
19550,CE,SELL,0.05,0.05,26/10/2023 15:10:59
20250,CE,BUY,0.05,0.05,26/10/2023 15:10:59
