strike,optiontype,BUY/SELL,price,current_price,Datetime
22400,CE,BUY,0.6,0.05,25/01/2024 10:15:59
21700,CE,SELL,2.25,0.2,25/01/2024 10:30:59
22400,CE,BUY,0.75,0.05,25/01/2024 10:30:59
21700,CE,SELL,2.0,0.2,25/01/2024 10:36:59
22400,CE,BUY,0.7,0.05,25/01/2024 10:36:59
21700,CE,SELL,1.8,0.2,25/01/2024 10:46:59
22400,CE,BUY,0.55,0.05,25/01/2024 10:46:59
21700,CE,SELL,1.6,0.2,25/01/2024 11:46:59
22400,CE,BUY,0.35,0.05,25/01/2024 11:46:59
21700,CE,SELL,1.4,0.2,25/01/2024 11:48:59
22400,CE,BUY,0.3,0.05,25/01/2024 11:48:59
21700,CE,SELL,1.25,0.2,25/01/2024 11:51:59
22400,CE,BUY,0.3,0.05,25/01/2024 11:51:59
21700,CE,SELL,1.1,0.2,25/01/2024 12:06:59
22400,CE,BUY,0.3,0.05,25/01/2024 12:06:59
21700,CE,SELL,0.95,0.2,25/01/2024 12:12:59
22400,CE,BUY,0.3,0.05,25/01/2024 12:12:59
21700,CE,SELL,0.85,0.2,25/01/2024 14:11:59
22400,CE,BUY,0.25,0.05,25/01/2024 14:11:59
21700,CE,SELL,0.65,0.2,25/01/2024 14:13:59
22400,CE,BUY,0.2,0.05,25/01/2024 14:13:59
21700,CE,SELL,0.55,0.2,25/01/2024 14:16:59
22400,CE,BUY,0.2,0.05,25/01/2024 14:16:59
21700,CE,SELL,0.45,0.2,25/01/2024 14:19:59
22400,CE,BUY,0.1,0.05,25/01/2024 14:19:59
21700,CE,SELL,0.4,0.2,25/01/2024 14:22:59
22400,CE,BUY,0.1,0.05,25/01/2024 14:22:59
21700,CE,SELL,0.35,0.2,25/01/2024 14:35:59
22400,CE,BUY,0.1,0.05,25/01/2024 14:35:59
21700,CE,SELL,0.3,0.2,25/01/2024 14:39:59
22400,CE,BUY,0.05,0.05,25/01/2024 14:39:59
21700,CE,SELL,0.25,0.2,25/01/2024 14:42:59
22400,CE,BUY,0.05,0.05,25/01/2024 14:42:59
21700,CE,SELL,0.2,0.2,25/01/2024 14:53:59
22400,CE,BUY,0.05,0.05,25/01/2024 14:53:59
21700,CE,SELL,0.15,0.2,25/01/2024 15:06:59
22400,CE,BUY,0.05,0.05,25/01/2024 15:06:59
21700,CE,SELL,0.1,0.2,25/01/2024 15:08:59
22400,CE,BUY,0.05,0.05,25/01/2024 15:08:59
21700,CE,SELL,0.05,0.2,25/01/2024 15:23:59
22400,CE,BUY,0.05,0.05,25/01/2024 15:23:59
